"account_id";"district_id";"frequency";"date"
443;64;"monthly issuance";930128
3693;61;"monthly issuance";930129
2070;72;"monthly issuance";930129
1843;12;"monthly issuance";930130
2714;1;"monthly issuance";930130
4078;40;"monthly issuance";930130
1675;36;"monthly issuance";930201
5868;44;"monthly issuance";930202
1805;1;"monthly issuance";930202
2434;17;"monthly issuance";930202
3007;16;"monthly issuance";930202
2574;68;"monthly issuance";930202
862;64;"weekly issuance";930202
1132;1;"weekly issuance";930203
4484;54;"monthly issuance";930203
943;1;"monthly issuance";930203
3514;7;"monthly issuance";930203
3983;67;"monthly issuance";930204
9265;1;"monthly issuance";930204
465;32;"monthly issuance";930204
982;54;"monthly issuance";930205
411;70;"monthly issuance";930205
890;14;"monthly issuance";930205
627;63;"monthly issuance";930205
2429;61;"monthly issuance";930206
3960;64;"monthly issuance";930206
2256;48;"monthly issuance";930206
8051;1;"weekly issuance";930207
2647;73;"monthly issuance";930208
2241;6;"monthly issuance";930208
5622;70;"monthly issuance";930208
2884;1;"monthly issuance";930208
1830;10;"monthly issuance";930208
7753;74;"monthly issuance";930208
244;24;"monthly issuance";930208
1477;1;"monthly issuance";930208
4240;50;"monthly issuance";930208
1006;6;"monthly issuance";930208
830;74;"monthly issuance";930208
9188;45;"monthly issuance";930208
1965;57;"issuance after transaction";930208
1134;6;"monthly issuance";930209
1601;10;"monthly issuance";930209
2861;38;"monthly issuance";930210
813;16;"monthly issuance";930210
2585;75;"monthly issuance";930210
2220;16;"monthly issuance";930210
2763;64;"monthly issuance";930211
2342;51;"monthly issuance";930211
1944;72;"monthly issuance";930212
1966;27;"monthly issuance";930212
1801;46;"monthly issuance";930213
2543;68;"monthly issuance";930213
2293;31;"monthly issuance";930213
11013;1;"weekly issuance";930214
2423;30;"monthly issuance";930214
142;51;"monthly issuance";930215
3424;74;"monthly issuance";930216
539;13;"issuance after transaction";930216
979;21;"monthly issuance";930216
3554;66;"monthly issuance";930216
3545;51;"monthly issuance";930217
3047;16;"monthly issuance";930217
3374;21;"monthly issuance";930217
96;68;"monthly issuance";930218
461;30;"monthly issuance";930218
3593;1;"monthly issuance";930218
3026;24;"monthly issuance";930218
1054;10;"monthly issuance";930219
2433;71;"monthly issuance";930219
3691;50;"monthly issuance";930219
3787;70;"monthly issuance";930219
128;2;"monthly issuance";930219
3168;39;"monthly issuance";930220
4937;12;"monthly issuance";930220
2124;69;"monthly issuance";930220
322;1;"monthly issuance";930220
4355;31;"monthly issuance";930221
1678;1;"monthly issuance";930222
2396;2;"monthly issuance";930222
1005;54;"weekly issuance";930223
697;28;"monthly issuance";930223
925;59;"monthly issuance";930223
2110;64;"monthly issuance";930223
1366;60;"monthly issuance";930224
1050;57;"issuance after transaction";930224
3117;33;"monthly issuance";930224
562;50;"monthly issuance";930225
5369;54;"monthly issuance";930225
2242;7;"weekly issuance";930225
197;1;"monthly issuance";930225
496;69;"monthly issuance";930226
2;1;"monthly issuance";930226
7401;1;"monthly issuance";930226
2486;1;"monthly issuance";930227
428;1;"monthly issuance";930227
3651;23;"monthly issuance";930227
1775;17;"monthly issuance";930227
1688;70;"monthly issuance";930227
361;51;"monthly issuance";930227
1829;43;"monthly issuance";930227
1575;1;"monthly issuance";930227
9203;70;"monthly issuance";930227
3008;72;"monthly issuance";930227
239;69;"weekly issuance";930301
3302;21;"monthly issuance";930302
415;25;"monthly issuance";930303
3513;20;"monthly issuance";930303
4134;7;"monthly issuance";930303
1077;14;"monthly issuance";930303
1713;43;"monthly issuance";930303
1378;59;"monthly issuance";930304
2503;1;"monthly issuance";930305
559;46;"monthly issuance";930305
6555;38;"weekly issuance";930305
744;42;"monthly issuance";930306
882;9;"monthly issuance";930306
86;54;"monthly issuance";930307
1126;56;"monthly issuance";930308
2666;49;"monthly issuance";930308
944;70;"monthly issuance";930308
1545;1;"monthly issuance";930308
2453;1;"monthly issuance";930308
3734;43;"monthly issuance";930308
3935;23;"monthly issuance";930308
396;21;"monthly issuance";930308
2694;7;"monthly issuance";930308
4596;74;"monthly issuance";930309
2489;72;"monthly issuance";930309
2895;19;"monthly issuance";930309
317;76;"monthly issuance";930310
2555;53;"monthly issuance";930310
494;60;"monthly issuance";930311
2219;60;"monthly issuance";930311
2581;72;"monthly issuance";930311
112;6;"monthly issuance";930312
3674;38;"monthly issuance";930312
2039;44;"monthly issuance";930312
2712;9;"monthly issuance";930312
395;1;"monthly issuance";930312
2974;9;"monthly issuance";930313
123;21;"monthly issuance";930313
9640;1;"monthly issuance";930313
3108;53;"monthly issuance";930314
2508;34;"monthly issuance";930314
2458;40;"weekly issuance";930314
588;66;"monthly issuance";930314
7231;10;"monthly issuance";930314
6701;49;"weekly issuance";930315
3883;72;"monthly issuance";930315
222;37;"monthly issuance";930315
2497;65;"monthly issuance";930316
1372;1;"monthly issuance";930316
3835;50;"monthly issuance";930316
7445;64;"monthly issuance";930318
2527;38;"monthly issuance";930319
425;9;"monthly issuance";930319
860;1;"monthly issuance";930319
6034;6;"weekly issuance";930319
11065;11;"monthly issuance";930319
9883;1;"monthly issuance";930319
115;68;"monthly issuance";930319
1189;59;"monthly issuance";930319
3675;64;"monthly issuance";930320
3069;66;"monthly issuance";930320
2762;19;"monthly issuance";930320
892;70;"monthly issuance";930320
1535;46;"monthly issuance";930320
2618;60;"monthly issuance";930321
2651;2;"monthly issuance";930321
5442;34;"monthly issuance";930322
1787;30;"weekly issuance";930322
1397;17;"monthly issuance";930322
3785;10;"monthly issuance";930324
623;1;"monthly issuance";930324
8260;31;"monthly issuance";930324
3678;1;"monthly issuance";930324
3001;1;"monthly issuance";930324
655;53;"monthly issuance";930324
4093;1;"monthly issuance";930325
3260;68;"monthly issuance";930325
2528;65;"monthly issuance";930325
2011;75;"monthly issuance";930325
1721;68;"monthly issuance";930325
1332;59;"monthly issuance";930325
1402;74;"monthly issuance";930326
3283;68;"monthly issuance";930326
3781;31;"monthly issuance";930326
7203;71;"monthly issuance";930326
1065;72;"monthly issuance";930327
3076;54;"monthly issuance";930327
4347;1;"monthly issuance";930327
1157;7;"monthly issuance";930327
9403;1;"weekly issuance";930327
1874;9;"monthly issuance";930327
1115;34;"monthly issuance";930327
3586;59;"monthly issuance";930327
62;47;"monthly issuance";930328
1771;69;"monthly issuance";930328
5483;13;"monthly issuance";930328
8330;48;"monthly issuance";930328
187;5;"monthly issuance";930328
423;12;"monthly issuance";930328
6425;31;"monthly issuance";930329
2493;62;"monthly issuance";930329
2896;29;"monthly issuance";930330
2245;29;"monthly issuance";930330
3923;52;"monthly issuance";930330
1898;70;"monthly issuance";930401
3367;1;"monthly issuance";930401
3391;74;"monthly issuance";930401
8519;23;"monthly issuance";930402
1780;1;"monthly issuance";930402
3915;65;"monthly issuance";930402
3980;75;"monthly issuance";930403
4350;63;"monthly issuance";930404
686;41;"monthly issuance";930404
362;15;"monthly issuance";930404
299;77;"monthly issuance";930405
2488;5;"monthly issuance";930406
2985;71;"monthly issuance";930406
385;5;"monthly issuance";930407
2817;56;"monthly issuance";930407
2056;58;"monthly issuance";930407
2002;1;"monthly issuance";930408
748;10;"monthly issuance";930408
220;72;"monthly issuance";930409
1422;68;"monthly issuance";930409
1147;44;"monthly issuance";930410
3788;70;"monthly issuance";930410
1891;32;"monthly issuance";930410
1239;1;"monthly issuance";930410
8321;77;"monthly issuance";930412
3213;51;"monthly issuance";930412
2838;3;"weekly issuance";930413
3644;38;"monthly issuance";930413
4318;33;"weekly issuance";930413
2648;51;"monthly issuance";930413
2313;26;"weekly issuance";930413
5428;24;"monthly issuance";930414
7123;64;"issuance after transaction";930414
279;39;"monthly issuance";930414
104;37;"monthly issuance";930415
497;55;"monthly issuance";930415
1152;45;"monthly issuance";930415
83;26;"monthly issuance";930416
2008;52;"monthly issuance";930416
3327;45;"monthly issuance";930416
5740;43;"monthly issuance";930416
8132;5;"weekly issuance";930417
10738;45;"weekly issuance";930417
2216;74;"monthly issuance";930417
1815;66;"monthly issuance";930417
2823;57;"monthly issuance";930418
4321;47;"monthly issuance";930418
1773;33;"monthly issuance";930419
7454;4;"monthly issuance";930419
188;54;"monthly issuance";930420
10973;18;"weekly issuance";930420
2599;48;"monthly issuance";930420
1166;11;"monthly issuance";930421
504;73;"monthly issuance";930421
1518;67;"monthly issuance";930421
2189;75;"monthly issuance";930422
6040;1;"monthly issuance";930422
2876;52;"monthly issuance";930422
1505;69;"monthly issuance";930423
6897;48;"monthly issuance";930423
4377;28;"monthly issuance";930424
717;75;"monthly issuance";930424
9707;70;"monthly issuance";930424
2814;72;"monthly issuance";930425
3068;59;"monthly issuance";930425
1476;61;"monthly issuance";930426
897;38;"monthly issuance";930426
977;1;"monthly issuance";930426
2639;17;"monthly issuance";930426
1032;11;"monthly issuance";930426
928;20;"monthly issuance";930426
168;31;"monthly issuance";930427
2175;1;"monthly issuance";930427
10105;55;"monthly issuance";930428
1392;60;"monthly issuance";930428
3697;45;"monthly issuance";930429
5313;40;"monthly issuance";930429
2222;47;"monthly issuance";930501
2641;7;"monthly issuance";930502
5423;15;"monthly issuance";930502
2609;73;"monthly issuance";930503
5472;1;"monthly issuance";930504
2932;72;"monthly issuance";930504
4254;70;"monthly issuance";930504
3965;31;"monthly issuance";930504
10656;8;"monthly issuance";930505
887;1;"monthly issuance";930505
4743;64;"monthly issuance";930505
1048;35;"monthly issuance";930505
1671;6;"monthly issuance";930505
1236;19;"monthly issuance";930505
1822;30;"monthly issuance";930505
3316;28;"monthly issuance";930506
2037;20;"monthly issuance";930506
10079;62;"monthly issuance";930506
3999;35;"monthly issuance";930506
551;77;"monthly issuance";930507
1200;33;"monthly issuance";930507
1161;66;"monthly issuance";930508
5372;48;"monthly issuance";930508
3050;60;"monthly issuance";930508
1784;59;"monthly issuance";930508
1603;1;"monthly issuance";930509
1887;68;"monthly issuance";930509
1644;1;"monthly issuance";930509
1658;73;"monthly issuance";930510
44;32;"monthly issuance";930510
1039;70;"weekly issuance";930510
1071;68;"weekly issuance";930510
2410;54;"monthly issuance";930511
2523;10;"monthly issuance";930511
790;54;"monthly issuance";930511
2583;62;"monthly issuance";930511
1782;8;"monthly issuance";930512
751;3;"monthly issuance";930512
2061;24;"monthly issuance";930512
8261;13;"monthly issuance";930512
2321;35;"monthly issuance";930513
1334;74;"monthly issuance";930514
3649;54;"monthly issuance";930514
555;24;"monthly issuance";930515
3173;39;"monthly issuance";930515
863;71;"monthly issuance";930516
3181;42;"monthly issuance";930516
3210;1;"monthly issuance";930517
489;16;"monthly issuance";930517
947;59;"monthly issuance";930517
3284;64;"monthly issuance";930517
1610;52;"monthly issuance";930517
4225;55;"monthly issuance";930518
1412;64;"monthly issuance";930518
1937;36;"monthly issuance";930518
991;39;"monthly issuance";930518
1180;20;"monthly issuance";930519
2758;70;"monthly issuance";930519
2711;58;"monthly issuance";930519
1652;74;"monthly issuance";930520
3099;70;"monthly issuance";930520
11111;1;"monthly issuance";930520
9591;74;"monthly issuance";930520
9828;11;"monthly issuance";930520
5385;44;"weekly issuance";930521
23;30;"monthly issuance";930522
2645;54;"monthly issuance";930522
2991;19;"monthly issuance";930522
3469;76;"monthly issuance";930522
1851;55;"monthly issuance";930523
3844;67;"monthly issuance";930523
1442;23;"monthly issuance";930523
3064;40;"monthly issuance";930523
3558;4;"monthly issuance";930523
1534;1;"monthly issuance";930524
334;1;"monthly issuance";930524
1786;1;"monthly issuance";930525
1272;40;"weekly issuance";930525
2436;67;"monthly issuance";930525
3796;53;"monthly issuance";930525
119;27;"monthly issuance";930525
3063;72;"monthly issuance";930526
18;43;"weekly issuance";930526
11320;44;"monthly issuance";930526
3888;39;"monthly issuance";930527
1584;30;"monthly issuance";930527
5546;43;"monthly issuance";930528
2029;55;"monthly issuance";930529
10911;1;"weekly issuance";930529
2467;33;"monthly issuance";930529
2962;1;"monthly issuance";930530
165;25;"monthly issuance";930601
1617;45;"monthly issuance";930601
327;54;"monthly issuance";930602
2068;21;"monthly issuance";930602
4448;60;"monthly issuance";930602
640;32;"monthly issuance";930602
510;1;"weekly issuance";930602
2534;61;"monthly issuance";930603
1018;7;"monthly issuance";930603
1285;65;"monthly issuance";930604
3670;27;"monthly issuance";930604
1743;51;"monthly issuance";930604
3072;8;"monthly issuance";930605
2146;31;"monthly issuance";930605
4576;27;"monthly issuance";930605
3258;53;"monthly issuance";930605
2176;67;"monthly issuance";930606
8934;51;"monthly issuance";930606
1999;70;"monthly issuance";930606
2741;15;"monthly issuance";930607
4427;32;"monthly issuance";930607
3682;70;"monthly issuance";930607
2862;33;"monthly issuance";930607
3032;5;"monthly issuance";930607
701;69;"monthly issuance";930608
6281;56;"monthly issuance";930608
306;16;"monthly issuance";930608
1207;67;"monthly issuance";930608
1247;25;"monthly issuance";930608
5343;64;"monthly issuance";930608
5129;68;"monthly issuance";930608
3713;14;"weekly issuance";930608
2327;19;"monthly issuance";930608
774;1;"monthly issuance";930608
1990;1;"monthly issuance";930609
2388;30;"monthly issuance";930609
3566;21;"monthly issuance";930609
10266;54;"monthly issuance";930610
3771;22;"monthly issuance";930611
1978;57;"weekly issuance";930611
2022;72;"monthly issuance";930611
3542;49;"monthly issuance";930611
1515;11;"monthly issuance";930611
4171;28;"monthly issuance";930612
433;20;"monthly issuance";930612
1373;47;"monthly issuance";930612
3246;54;"monthly issuance";930614
1475;1;"weekly issuance";930614
3133;66;"monthly issuance";930614
2779;73;"monthly issuance";930615
135;75;"monthly issuance";930615
446;50;"monthly issuance";930615
9093;47;"monthly issuance";930616
432;46;"monthly issuance";930616
2880;71;"monthly issuance";930616
5767;72;"monthly issuance";930616
1998;1;"monthly issuance";930617
2554;36;"monthly issuance";930618
2933;10;"monthly issuance";930618
773;15;"monthly issuance";930619
4894;14;"monthly issuance";930620
3969;39;"monthly issuance";930620
1277;31;"monthly issuance";930620
5120;1;"monthly issuance";930621
738;34;"monthly issuance";930621
1299;1;"monthly issuance";930621
148;8;"monthly issuance";930621
899;72;"monthly issuance";930621
3521;75;"monthly issuance";930622
3786;21;"monthly issuance";930622
886;1;"monthly issuance";930623
5228;77;"issuance after transaction";930623
702;12;"monthly issuance";930623
300;1;"monthly issuance";930623
1451;64;"monthly issuance";930624
2940;54;"monthly issuance";930624
1837;23;"monthly issuance";930624
3954;22;"monthly issuance";930625
885;1;"monthly issuance";930625
2697;8;"monthly issuance";930626
8129;45;"monthly issuance";930626
1930;3;"monthly issuance";930627
2411;69;"monthly issuance";930627
3775;19;"monthly issuance";930627
9034;1;"monthly issuance";930628
902;74;"monthly issuance";930629
630;71;"monthly issuance";930629
3096;68;"monthly issuance";930629
2552;52;"monthly issuance";930701
3435;59;"monthly issuance";930701
5215;55;"monthly issuance";930701
36;1;"monthly issuance";930701
2687;76;"monthly issuance";930701
1861;54;"monthly issuance";930702
2464;33;"issuance after transaction";930702
2736;72;"monthly issuance";930702
1145;31;"monthly issuance";930703
2298;31;"monthly issuance";930703
929;54;"monthly issuance";930703
381;68;"monthly issuance";930704
3778;52;"monthly issuance";930704
1118;48;"monthly issuance";930704
4352;2;"monthly issuance";930705
1322;17;"monthly issuance";930705
1852;35;"monthly issuance";930705
8173;11;"monthly issuance";930705
2705;63;"issuance after transaction";930705
9472;1;"weekly issuance";930706
368;77;"monthly issuance";930706
1425;76;"monthly issuance";930706
8027;44;"weekly issuance";930707
3261;1;"monthly issuance";930707
35;75;"monthly issuance";930707
2186;63;"monthly issuance";930707
1566;73;"monthly issuance";930707
78;74;"monthly issuance";930707
3939;70;"monthly issuance";930708
2584;50;"monthly issuance";930708
2336;39;"monthly issuance";930708
2078;62;"monthly issuance";930708
3882;10;"monthly issuance";930709
4159;74;"monthly issuance";930709
907;41;"monthly issuance";930709
1411;54;"monthly issuance";930709
1684;32;"weekly issuance";930710
3748;1;"monthly issuance";930710
2213;68;"monthly issuance";930711
1062;6;"monthly issuance";930711
273;24;"issuance after transaction";930711
10320;68;"monthly issuance";930711
1416;66;"weekly issuance";930712
3277;36;"monthly issuance";930712
1892;28;"monthly issuance";930713
3413;70;"monthly issuance";930713
3654;47;"monthly issuance";930713
3000;28;"monthly issuance";930714
3955;64;"monthly issuance";930714
1544;69;"monthly issuance";930714
9703;68;"monthly issuance";930715
234;73;"monthly issuance";930715
3241;44;"monthly issuance";930716
3465;1;"monthly issuance";930716
3152;1;"monthly issuance";930716
1497;1;"monthly issuance";930716
3078;1;"monthly issuance";930716
400;28;"monthly issuance";930717
1902;50;"weekly issuance";930717
757;50;"monthly issuance";930719
1116;1;"monthly issuance";930720
5700;42;"monthly issuance";930720
3267;64;"monthly issuance";930721
3222;4;"monthly issuance";930721
408;41;"monthly issuance";930721
2818;40;"monthly issuance";930721
6273;38;"monthly issuance";930721
2513;70;"monthly issuance";930722
3493;63;"monthly issuance";930722
1201;61;"monthly issuance";930723
4478;70;"monthly issuance";930723
2915;57;"monthly issuance";930723
9833;20;"monthly issuance";930724
2253;74;"monthly issuance";930724
1069;70;"monthly issuance";930724
207;2;"monthly issuance";930725
3212;70;"monthly issuance";930725
4035;1;"monthly issuance";930725
1268;74;"monthly issuance";930725
3287;18;"monthly issuance";930726
6226;74;"weekly issuance";930726
2123;64;"monthly issuance";930726
3982;26;"monthly issuance";930727
2701;71;"monthly issuance";930727
3629;48;"monthly issuance";930727
2841;71;"monthly issuance";930727
563;53;"monthly issuance";930727
2732;5;"monthly issuance";930727
1297;70;"monthly issuance";930727
7485;39;"monthly issuance";930728
2088;4;"monthly issuance";930728
225;1;"monthly issuance";930728
1630;72;"monthly issuance";930728
403;1;"monthly issuance";930729
445;63;"weekly issuance";930729
186;1;"weekly issuance";930729
3720;36;"monthly issuance";930730
574;70;"monthly issuance";930730
1429;57;"monthly issuance";930730
3580;43;"monthly issuance";930801
7819;38;"monthly issuance";930801
759;23;"monthly issuance";930801
6363;74;"monthly issuance";930801
3738;51;"monthly issuance";930801
4000;7;"monthly issuance";930802
9041;1;"monthly issuance";930803
2620;22;"monthly issuance";930803
3609;28;"monthly issuance";930803
1382;48;"monthly issuance";930803
930;41;"monthly issuance";930803
1925;12;"monthly issuance";930803
1834;62;"monthly issuance";930803
1507;35;"monthly issuance";930803
7857;75;"monthly issuance";930804
6636;72;"weekly issuance";930804
601;29;"monthly issuance";930804
3298;29;"monthly issuance";930804
2938;1;"monthly issuance";930804
2199;1;"monthly issuance";930804
3745;5;"monthly issuance";930804
3699;50;"monthly issuance";930805
816;52;"monthly issuance";930805
3656;53;"monthly issuance";930806
2038;42;"monthly issuance";930806
2542;21;"monthly issuance";930807
1136;12;"monthly issuance";930807
1589;37;"monthly issuance";930807
3136;69;"monthly issuance";930807
3547;54;"monthly issuance";930807
26;52;"monthly issuance";930808
657;47;"monthly issuance";930808
3538;58;"monthly issuance";930808
2167;16;"monthly issuance";930808
3127;66;"monthly issuance";930808
47;45;"monthly issuance";930808
3850;8;"monthly issuance";930809
5366;70;"monthly issuance";930809
747;39;"monthly issuance";930809
3166;71;"monthly issuance";930810
11021;1;"monthly issuance";930810
1701;1;"monthly issuance";930810
3613;43;"monthly issuance";930810
3600;27;"monthly issuance";930810
3792;10;"monthly issuance";930811
523;1;"monthly issuance";930811
3808;38;"monthly issuance";930811
1401;1;"monthly issuance";930812
541;61;"monthly issuance";930812
1023;21;"monthly issuance";930813
3683;33;"monthly issuance";930813
3220;29;"monthly issuance";930814
1779;33;"monthly issuance";930815
1912;64;"monthly issuance";930815
238;6;"monthly issuance";930815
3113;67;"monthly issuance";930816
5481;52;"monthly issuance";930816
3035;15;"weekly issuance";930816
942;9;"monthly issuance";930816
3221;5;"monthly issuance";930817
2616;1;"monthly issuance";930817
2137;4;"issuance after transaction";930817
978;73;"monthly issuance";930818
2771;37;"monthly issuance";930818
3891;1;"monthly issuance";930818
9236;11;"monthly issuance";930818
274;76;"monthly issuance";930820
552;14;"monthly issuance";930820
2417;44;"monthly issuance";930820
3868;43;"monthly issuance";930821
9869;12;"monthly issuance";930821
1875;44;"monthly issuance";930821
8212;52;"issuance after transaction";930821
3477;71;"monthly issuance";930822
1513;30;"monthly issuance";930823
3053;11;"monthly issuance";930823
1057;13;"monthly issuance";930823
6030;47;"monthly issuance";930824
3407;28;"monthly issuance";930824
1761;24;"monthly issuance";930824
3306;75;"monthly issuance";930824
162;60;"monthly issuance";930825
5011;31;"monthly issuance";930825
965;20;"monthly issuance";930825
1305;57;"monthly issuance";930825
815;56;"monthly issuance";930825
1449;35;"monthly issuance";930826
950;49;"monthly issuance";930826
3361;45;"monthly issuance";930826
3837;48;"issuance after transaction";930826
33;22;"monthly issuance";930826
2894;17;"monthly issuance";930828
2510;61;"monthly issuance";930828
389;30;"monthly issuance";930828
6051;56;"monthly issuance";930828
730;4;"monthly issuance";930828
1694;6;"weekly issuance";930829
721;76;"monthly issuance";930829
1106;20;"weekly issuance";930829
3319;56;"monthly issuance";930829
10451;1;"monthly issuance";930829
172;13;"monthly issuance";930830
3920;74;"monthly issuance";930901
3011;64;"monthly issuance";930901
1337;23;"monthly issuance";930901
2592;69;"monthly issuance";930901
146;4;"monthly issuance";930902
2576;1;"monthly issuance";930902
3195;40;"monthly issuance";930902
8073;24;"issuance after transaction";930903
4463;67;"monthly issuance";930903
2082;36;"monthly issuance";930903
2020;13;"monthly issuance";930904
160;23;"monthly issuance";930904
7607;1;"monthly issuance";930905
117;31;"monthly issuance";930905
3509;2;"monthly issuance";930905
151;76;"monthly issuance";930906
1719;1;"monthly issuance";930906
3456;32;"monthly issuance";930906
2951;44;"monthly issuance";930906
7190;49;"monthly issuance";930906
1827;10;"monthly issuance";930906
1689;55;"monthly issuance";930907
1197;68;"monthly issuance";930907
5952;50;"monthly issuance";930907
6930;41;"monthly issuance";930908
1107;42;"monthly issuance";930908
8475;4;"monthly issuance";930908
3575;7;"monthly issuance";930908
2691;69;"monthly issuance";930908
3323;13;"monthly issuance";930908
2428;72;"monthly issuance";930908
2649;2;"monthly issuance";930908
2907;70;"monthly issuance";930909
1091;16;"monthly issuance";930909
1487;66;"monthly issuance";930910
3157;77;"monthly issuance";930910
4414;24;"monthly issuance";930910
2302;24;"monthly issuance";930910
1410;74;"monthly issuance";930911
1146;67;"monthly issuance";930912
8564;68;"monthly issuance";930912
750;73;"monthly issuance";930912
2150;37;"monthly issuance";930912
10940;50;"monthly issuance";930913
9337;30;"monthly issuance";930913
861;22;"monthly issuance";930913
10440;72;"monthly issuance";930913
10036;1;"monthly issuance";930913
1234;6;"monthly issuance";930913
7774;74;"issuance after transaction";930914
1547;72;"monthly issuance";930914
1079;74;"monthly issuance";930914
3863;15;"monthly issuance";930914
3480;58;"monthly issuance";930914
2671;1;"monthly issuance";930915
1705;70;"monthly issuance";930915
3028;27;"monthly issuance";930915
3310;25;"monthly issuance";930915
6715;48;"weekly issuance";930915
3255;1;"monthly issuance";930915
3751;9;"monthly issuance";930915
2987;18;"monthly issuance";930916
857;77;"monthly issuance";930916
3042;10;"monthly issuance";930916
2695;16;"monthly issuance";930916
2849;1;"monthly issuance";930916
2802;1;"monthly issuance";930916
34;67;"weekly issuance";930917
7133;1;"monthly issuance";930917
699;1;"monthly issuance";930917
2282;29;"weekly issuance";930917
8489;19;"monthly issuance";930918
837;46;"monthly issuance";930918
8759;1;"monthly issuance";930918
1602;33;"monthly issuance";930919
2958;48;"monthly issuance";930919
3408;62;"monthly issuance";930919
153;77;"monthly issuance";930919
3268;21;"monthly issuance";930920
854;62;"monthly issuance";930921
1831;1;"monthly issuance";930921
39;36;"monthly issuance";930922
1811;40;"monthly issuance";930922
3822;8;"monthly issuance";930922
1404;7;"weekly issuance";930922
517;76;"monthly issuance";930922
1440;55;"monthly issuance";930922
3505;46;"monthly issuance";930923
1804;20;"weekly issuance";930923
2617;1;"monthly issuance";930924
467;74;"monthly issuance";930924
4437;40;"monthly issuance";930924
1453;61;"weekly issuance";930925
3977;7;"monthly issuance";930925
8982;64;"monthly issuance";930925
27;73;"monthly issuance";930926
4511;33;"monthly issuance";930926
1052;61;"monthly issuance";930927
10227;62;"issuance after transaction";930927
3171;61;"monthly issuance";930928
228;5;"monthly issuance";930928
3618;29;"monthly issuance";930929
1016;40;"monthly issuance";930929
15;70;"monthly issuance";931002
3237;20;"monthly issuance";931002
1485;36;"monthly issuance";931003
7769;23;"monthly issuance";931003
2613;26;"monthly issuance";931003
2201;8;"monthly issuance";931005
1896;74;"monthly issuance";931005
5387;1;"monthly issuance";931005
3535;1;"monthly issuance";931005
1120;1;"monthly issuance";931005
235;41;"monthly issuance";931006
3701;76;"monthly issuance";931006
1516;67;"monthly issuance";931008
4543;33;"monthly issuance";931008
2427;70;"weekly issuance";931008
1981;64;"monthly issuance";931008
8566;74;"monthly issuance";931008
678;17;"monthly issuance";931008
4659;56;"monthly issuance";931008
4059;34;"monthly issuance";931008
4013;73;"issuance after transaction";931008
7011;75;"monthly issuance";931008
2132;76;"monthly issuance";931008
1816;44;"monthly issuance";931008
2623;58;"monthly issuance";931009
